episode,total_reward,epsilon
1,-48.800000000000225,0.796
2,-52.400000000000205,0.7920200000000001
3,-50.10000000000019,0.7880599
4,-59.80000000000033,0.7841196005000001
5,-58.800000000000345,0.7801990024975001
6,-59.000000000000334,0.7762980074850125
7,-73.10000000000025,0.7724165174475874
8,-57.400000000000276,0.7685544348603495
9,-61.90000000000037,0.7647116626860477
10,-65.80000000000044,0.7608881043726174
11,-55.300000000000324,0.7570836638507543
12,-44.10000000000014,0.7532982455315005
13,-52.80000000000021,0.749531754303843
14,-65.30000000000041,0.7457840955323238
15,-62.80000000000048,0.7420551750546622
16,-54.300000000000324,0.738344899179389
17,-53.100000000000264,0.734653174683492
18,-58.400000000000375,0.7309799088100746
19,-52.2000000000002,0.7273250092660242
20,-55.40000000000029,0.7236883842196941
21,-59.00000000000032,0.7200699422985956
22,-58.50000000000032,0.7164695925871025
23,-65.0000000000004,0.712887244624167
24,-46.00000000000021,0.7093228084010461
25,-36.7000000000001,0.7057761943590409
26,-49.70000000000019,0.7022473133872458
27,-42.40000000000015,0.6987360768203096
28,-43.800000000000104,0.695242396436208
29,-50.800000000000246,0.6917661844540269
30,-49.20000000000019,0.6883073535317568
31,-31.70000000000028,0.684865816764098
32,-39.20000000000015,0.6814414876802775
33,-51.400000000000276,0.6780342802418761
34,-33.40000000000009,0.6746441088406667
35,-42.90000000000019,0.6712708882964634
36,-40.00000000000009,0.6679145338549811
37,-57.50000000000029,0.6645749611857062
38,-46.10000000000016,0.6612520863797777
39,-21.699999999999996,0.6579458259478789
40,-29.300000000000107,0.6546560968181395
41,-48.50000000000016,0.6513828163340488
42,-25.00000000000037,0.6481259022523785
43,-61.80000000000044,0.6448852727411166
44,-45.90000000000012,0.641660846377411
45,-40.90000000000009,0.638452542145524
46,-34.4000000000001,0.6352602794347965
47,-40.00000000000029,0.6320839780376225
48,-35.30000000000006,0.6289235581474344
49,-61.80000000000034,0.6257789403566972
50,-41.70000000000022,0.6226500456549138
51,-42.100000000000115,0.6195367954266392
52,-49.100000000000236,0.616439111449506
53,-34.50000000000003,0.6133569158922585
54,-47.70000000000015,0.6102901313127972
55,-55.100000000000335,0.6072386806562332
56,-53.70000000000042,0.604202487252952
57,-31.300000000000033,0.6011814748166873
58,-24.600000000000044,0.5981755674426038
59,-48.00000000000014,0.5951846896053908
60,-41.90000000000023,0.5922087661573638
61,-0.4000000000000288,0.5892477223265771
62,-43.000000000000135,0.5863014837149442
63,-31.600000000000136,0.5833699762963694
64,-51.60000000000019,0.5804531264148876
65,-53.600000000000264,0.5775508607828131
66,-35.10000000000012,0.5746631064788991
67,-26.30000000000001,0.5717897909465046
68,-24.800000000000026,0.5689308419917721
69,-17.499999999999943,0.5660861877818133
70,-43.40000000000016,0.5632557568429042
71,-24.900000000000162,0.5604394780586897
72,-44.900000000000105,0.5576372806683962
73,-36.10000000000006,0.5548490942650542
74,-27.900000000000233,0.5520748487937289
75,-41.20000000000013,0.5493144745497602
76,-29.600000000000108,0.5465679021770115
77,-61.60000000000037,0.5438350626661264
78,-52.60000000000032,0.5411158873527957
79,-45.30000000000021,0.5384103079160317
80,-48.300000000000246,0.5357182563764515
81,-44.300000000000146,0.5330396650945692
82,-47.20000000000022,0.5303744667690964
83,-45.70000000000019,0.5277225944352509
84,-40.400000000000105,0.5250839814630747
85,-49.30000000000016,0.5224585615557593
86,-54.40000000000026,0.5198462687479806
87,-43.30000000000014,0.5172470374042406
88,-16.99999999999997,0.5146608022172194
89,-42.200000000000145,0.5120874982061333
90,-44.10000000000017,0.5095270607151027
91,-23.700000000000127,0.5069794254115272
92,-61.200000000000365,0.5044445282844695
93,-50.60000000000019,0.5019223056430472
94,-24.600000000000044,0.49941269411483197
95,-48.70000000000023,0.4969156306442578
96,-47.500000000000185,0.4944310524910365
97,-29.000000000000284,0.4919588972285813
98,-49.80000000000018,0.4894991027424384
99,-42.50000000000018,0.4870516072287262
100,-42.90000000000017,0.48461634919258256
101,-23.899999999999984,0.48219326744661967
102,-42.60000000000024,0.4797823011093866
103,-51.90000000000027,0.47738338960383964
104,-38.100000000000186,0.47499647265582046
105,-41.00000000000014,0.47262149029254136
106,-31.00000000000005,0.4702583828410786
107,-55.4000000000004,0.4679070909268732
108,-44.600000000000165,0.4655675554722388
109,-40.80000000000018,0.46323971769487765
110,-27.300000000000004,0.4609235191064033
111,-26.799999999999965,0.45861890151087126
112,-42.2000000000001,0.4563258070033169
113,-30.90000000000004,0.45404417796830027
114,-34.40000000000015,0.45177395707845874
115,-26.300000000000118,0.44951508729306644
116,-15.299999999999939,0.44726751185660113
117,-36.70000000000007,0.44503117429731814
118,-26.700000000000095,0.44280601842583156
119,-45.9000000000002,0.4405919883337024
120,-10.79999999999994,0.43838902839203386
121,-43.700000000000166,0.43619708325007367
122,-27.100000000000122,0.4340160978338233
123,-49.10000000000017,0.43184601734465417
124,-30.300000000000082,0.4296867872579309
125,-45.000000000000234,0.42753835332164125
126,-44.200000000000394,0.42540066155503303
127,-46.50000000000022,0.4232736582472579
128,-60.50000000000038,0.4211572899560216
129,-47.40000000000015,0.4190515035062415
130,-39.00000000000017,0.4169562459887103
131,-12.3,0.41487146475876674
132,-23.300000000000075,0.4127971074349729
133,-40.20000000000009,0.41073312189779804
134,-37.50000000000011,0.40867945628830904
135,-37.60000000000008,0.4066360590068675
136,-46.7000000000002,0.40460287871183315
137,-45.90000000000013,0.40257986431827397
138,-33.500000000000156,0.4005669649966826
139,-30.600000000000094,0.39856413017169917
140,-46.20000000000016,0.3965713095208407
141,-47.30000000000023,0.39458845297323647
142,-36.50000000000016,0.3926155107083703
143,-47.70000000000022,0.39065243315482845
144,-37.30000000000009,0.3886991709890543
145,-50.90000000000025,0.386755675134109
146,-40.30000000000013,0.3848218967584385
147,-25.30000000000036,0.3828977872746463
148,-44.20000000000015,0.38098329833827305
149,-45.700000000000195,0.37907838184658166
150,-40.800000000000104,0.3771829899373487
151,-46.90000000000021,0.37529707498766196
152,-40.30000000000013,0.3734205896127237
153,-45.90000000000019,0.37155348666466004
154,-42.10000000000015,0.36969571923133676
155,-37.90000000000007,0.3678472406351801
156,-26.6000000000001,0.3660080044320042
157,-42.40000000000016,0.3641779644098442
158,-47.20000000000019,0.362357074587795
159,-40.300000000000054,0.360545289214856
